time,2016/9/4,2016/9/11,2016/9/18,2016/9/25,2016/10/2,2016/10/16,2016/10/23,2016/10/30,2016/11/6,2016/11/13,2016/11/20,2016/11/27,2016/12/4,2016/12/11,2016/12/18,2016/12/25,2017/1/1,2017/1/8,2017/1/15,2017/1/22,2017/1/29,2017/2/5,2017/2/12,2017/2/19,2017/2/26,2017/3/5,2017/3/12,2017/3/19,2017/3/26
603999.SH,,,,,,19.44,9.52,13.04,5.77,,,5.45,,,,,,,1.72,3.39,,,,,3.33,
603998.SH,,,,,,,,1.1,,,,4.35,,1.04,,,,,,,,,,,,
603997.SH,,,,,,,,3.7,1.19,,1.18,,,1.18,1.16,1.15,2.27,,1.08,2.13,,,,5.21,,
603996.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603993.SH,0.26,,,0.25,,,0.25,0.25,,,,0.75,0.25,0.25,,0.25,,,,,0.24,,,0.49,1.94,1.9
603991.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603990.SH,,,,,,,,,,,,,,,,,,,,,,,,,100,
603989.SH,,,,2,3.92,,1.89,,,,1.85,3.64,,,,,,,,,,,,,,
603988.SH,3.39,,,,,1.41,,,2.78,1.35,2.67,3.9,3.9,,,2.5,,,,,,,,2.38,1.16,
603987.SH,,,,,,,,,,,,,,400,,,,,,,,,,,,
603986.SH,100,,,,,,,,,,,,,,,,,,,,,,,,,
603985.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603980.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603979.SH,2.5,,,,2.44,7.14,,2.22,4.35,2.08,4.08,1.96,,3.85,3.7,1.79,3.51,,6.78,,,,,,,
603978.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603977.SH,,,,,,,,,,,,,,150,10,,9.09,,9.09,8.33,,,,,,
603976.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603969.SH,1.18,,,3.37,,,1.09,,,,,,,2.15,5.26,3.06,,,,,,,1.98,,,
603968.SH,3.33,,,,,3.13,,9.09,8.33,,,,5.13,4.88,,,,,,,,,,,,
603966.SH,,,,,,,,,,,,,,,,,,,,,,,,,150,60
603960.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603959.SH,,,,5,,4.76,13.64,,,16,,,3.45,,3.33,,,,,,,,,,,
603958.SH,,,,,,,,,,6.67,,,,6.25,,5.88,,,,,,,,,,
603955.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603939.SH,,,,,0.89,,,,,0.88,0.88,,,,,0.87,0.86,,,,,,,1.72,,
603938.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603936.SH,,,,,1.75,1.75,1.72,3.39,4.92,1.56,,,,,1.56,1.54,1.52,,,,,,,,,
603933.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603929.SH,,,,,,,,,,,,,,,,,,,,,33.33,,,75,,33.33
